Date;FTHG;FTHGb;FTAG;FTAGb;HS;HSb;HST;HSTb;HC;HCb;OddsH;Resultado
08/10/2018;2;0;1;0;8;0;6;0;2;0;1,58;S
08/11/2018;2;0;0;0;12;0;4;0;7;0;1,89;S
08/11/2018;0;0;2;0;15;0;6;0;5;0;2,5;F
08/11/2018;0;0;3;0;6;0;1;0;2;0;6,41;F
08/11/2018;1;0;2;0;15;0;2;0;3;0;3,83;F
08/11/2018;2;0;0;0;19;0;5;0;8;0;2,43;S
08/11/2018;2;0;2;0;11;0;4;0;3;0;2,36;F
08/12/2018;0;0;2;0;9;0;3;0;2;0;4;F
08/12/2018;4;0;0;0;18;0;8;0;5;0;1,27;S
08/12/2018;0;0;0;0;18;0;3;0;8;0;1,86;F
8/18/2018;0;0;0;0;12;0;1;0;5;0;3,25;F
8/18/2018;3;0;2;0;24;0;11;0;5;0;1,83;S
8/18/2018;2;0;1;0;13;0;7;0;2;0;1,89;S
8/18/2018;2;0;0;0;6;0;2;0;1;0;2,05;S
8/18/2018;3;0;1;0;25;0;11;0;5;0;1,28;S
8/18/2018;1;0;2;0;11;0;5;0;6;0;2,09;F
8/19/2018;3;0;2;0;6;0;3;0;3;0;5,37;S
8/19/2018;1;0;3;0;8;0;3;0;5;0;2,47;F
8/19/2018;6;0;1;0;32;0;14;0;10;0;1,1;S
8/20/2018;0;0;2;0;8;0;2;0;6;0;7,34;F
8/25/2018;3;0;1;0;17;0;10;0;10;0;1,38;S
8/25/2018;2;2;2;2;17;2;5;2;6;2;2,63;F
8/25/2018;0;0;0;0;5;0;1;0;7;0;2,34;F
8/25/2018;1;4;0;4;22;4;8;4;8;4;1,17;S
8/25/2018;1;0;2;0;11;0;5;0;10;0;2,45;F
8/25/2018;1;2;1;2;11;2;2;2;5;2;1,21;F
8/26/2018;4;0;2;0;25;0;12;0;6;0;1,97;S
8/26/2018;1;1;2;1;6;1;2;1;4;1;5,49;F
8/26/2018;2;2;1;2;13;2;5;2;6;2;2,61;S
8/27/2018;0;2;3;2;23;2;5;2;5;2;2,61;F
09/01/2018;2;3;2;3;15;3;5;3;7;3;2,24;F
09/01/2018;2;3;0;3;24;3;6;3;7;3;1,3;S
09/01/2018;0;0;2;0;20;0;6;0;7;0;1,95;F
09/01/2018;1;2;1;2;11;2;1;2;4;2;1,5;F
09/01/2018;1;2;2;2;12;2;5;2;4;2;7,5;F
09/01/2018;2;6;1;6;24;6;8;6;4;6;1,12;S
09/01/2018;0;1;1;1;13;1;3;1;4;1;2,58;F
09/02/2018;0;1;2;1;9;1;2;1;2;1;5,94;F
09/02/2018;2;0;3;0;14;0;3;0;3;0;6,35;F
09/02/2018;2;2;1;2;7;2;3;2;3;2;5,5;S
9/15/2018;4;2;2;2;10;2;5;2;4;2;2,43;S
9/15/2018;4;2,5;1;2,5;18;2,5;7;2,5;5;2,5;1,19;S
9/15/2018;0;0;1;0;15;0;2;0;5;0;3,25;F
9/15/2018;3;4;0;4;28;4;9;4;10;4;1,13;S
9/15/2018;1;1;2;1;4;1;2;1;10;1;4,2;F
9/15/2018;1;3;2;3;11;3;3;3;5;3;3,03;F
9/15/2018;1;2;2;2;14;2;5;2;6;2;4,18;F
9/16/2018;1;1,5;3;1,5;16;1,5;4;1,5;4;1,5;2,07;F
9/16/2018;1;1,5;0;1,5;30;1,5;7;1,5;8;1,5;1,74;S
9/17/2018;2;0,5;2;0,5;14;0,5;5;0,5;1;0,5;2,12;F
9/22/2018;1;2,5;2;2,5;8;2,5;4;2,5;5;2,5;4,99;F
9/22/2018;4;0,5;0;0,5;12;0,5;5;0,5;3;0,5;2,95;S
9/22/2018;0;1;5;1;2;1;2;1;1;1;21,06;F
9/22/2018;0;0;0;0;16;0;4;0;9;0;2,18;F
9/22/2018;1;2;1;2;15;2;3;2;8;2;2,48;F
9/22/2018;3;1,5;1;1,5;18;1,5;8;1,5;3;1,5;1,62;S
9/22/2018;3;2,5;0;2,5;12;2,5;4;2,5;5;2,5;1,2;S
9/22/2018;1;1;1;1;15;1;6;1;5;1;1,59;F
9/23/2018;2;1,5;0;1,5;9;1,5;5;1,5;5;1,5;1,49;S
9/23/2018;0;0,5;0;0,5;6;0,5;1;0,5;1;0,5;5,72;F
9/29/2018;2;1,67;0;1,67;9;1,67;2;1,67;6;1,67;1,5;S
9/29/2018;1;3;1;3;10;3;4;3;4;3;2,86;F
9/29/2018;3;1,33;0;1,33;19;1,33;6;1,33;12;1,33;1,76;S
9/29/2018;0;0;2;0;9;0;5;0;3;0;8,01;F
9/29/2018;2;3,67;0;3,67;28;3,67;8;3,67;10;3,67;1,1;S
9/29/2018;0;1;2;1;6;1;1;1;5;1;2,61;F
9/29/2018;3;0,33;1;0,33;8;0,33;3;0,33;4;0,33;4,53;S
9/29/2018;2;1,33;0;1,33;14;1,33;6;1,33;8;1,33;1,85;S
9/30/2018;1;0,67;2;0,67;19;0,67;5;0,67;10;0,67;2,63;F
10/01/2018;2;2,67;1;2,67;11;2,67;5;2,67;3;2,67;2,3;S
10/05/2018;1;2;0;2;9;2;4;2;2;2;2,72;S
10/06/2018;1;1,67;1;1,67;6;1,67;3;1,67;1;1,67;2,16;F
10/06/2018;0;0;1;0;11;0;4;0;6;0;2,99;F
10/06/2018;1;2;2;2;8;2;2;2;2;2;2,17;F
10/06/2018;3;1;2;1;18;1;10;1;10;1;1,46;S
10/06/2018;1;2;0;2;19;2;7;2;6;2;1,22;S
10/06/2018;0;1,75;4;1,75;14;1,75;2;1,75;10;1,75;2,15;F
10/07/2018;1;1,67;5;1,67;21;1,67;4;1,67;4;1,67;5;F
10/07/2018;0;2,67;0;2,67;7;2,67;2;2,67;2;2,67;2,56;F
10/07/2018;0;1;3;1;15;1;6;1;4;1;6,02;F
10/20/2018;0;2,5;0;2,5;10;2,5;2;2,5;6;2,5;2,07;F
10/20/2018;4;0,75;2;0,75;22;0,75;5;0,75;4;0,75;2,51;S
10/20/2018;2;2,5;2;2,5;21;2,5;6;2,5;5;2,5;1,74;F
10/20/2018;0;0;1;0;13;0;1;0;2;0;11,49;F
10/20/2018;5;3,25;0;3,25;24;3,25;10;3,25;10;3,25;1,1;S
10/20/2018;0;0,75;1;0,75;27;0,75;6;0,75;10;0,75;2,22;F
10/20/2018;0;1;1;1;13;1;4;1;10;1;4,07;F
10/20/2018;0;1,5;2;1,5;10;1,5;1;1,5;8;1,5;1,76;F
10/21/2018;2;1,75;0;1,75;20;1,75;4;1,75;10;1,75;1,88;S
10/22/2018;3;1,75;1;1,75;19;1,75;6;1,75;6;1,75;1,56;S
10/27/2018;1;1,75;0;1,75;2;1,75;1;1,75;1;1,75;3,27;S
10/27/2018;0;1,5;3;1,5;11;1,5;1;1,5;5;1,5;2,95;F
10/27/2018;1;1,75;1;1,75;21;1,75;7;1,75;8;1,75;2,16;F
10/27/2018;4;2;1;2;19;2;7;2;8;2;1,11;S
10/27/2018;0;0,75;0;0,75;22;0,75;4;0,75;7;0,75;2,14;F
10/27/2018;3;1,4;0;1,4;12;1,4;6;1,4;3;1,4;1,76;S
10/28/2018;0;1,5;4;1,5;7;1,5;1;1,5;4;1,5;10,84;F
10/28/2018;2;0;2;0;16;0;3;0;6;0;4,56;F
10/28/2018;2;1,5;1;1,5;14;1,5;10;1,5;8;1,5;1,75;S
10/29/2018;0;1,67;1;1,67;4;1,67;1;1,67;3;1,67;4,76;F
11/03/2018;1;2;1;2;12;2;4;2;5;2;3,92;F
11/03/2018;1;2;2;2;18;2;7;2;9;2;3,62;F
11/03/2018;0;1,4;1;1,4;11;1,4;2;1,4;6;1,4;3,85;F
11/03/2018;3;1,8;1;1,8;14;1,8;3;1,8;6;1,8;1,58;S
11/03/2018;1;0,6;0;0,6;10;0,6;2;0,6;8;0,6;2,78;S
11/03/2018;4;0,8;2;0,8;22;0,8;10;0,8;10;0,8;1,76;S
11/03/2018;2;1,2;3;1,2;16;1,2;7;1,2;5;1,2;3,13;F
11/04/2018;3;2,4;1;2,4;15;2,4;6;2,4;4;2,4;1,27;S
11/04/2018;6;3,6;1;3,6;18;3,6;8;3,6;4;3,6;1,11;S
11/05/2018;1;0;0;0;10;0;2;0;5;0;2,33;S
11/10/2018;2;1,17;1;1,17;20;1,17;6;1,17;4;1,17;2,61;S
11/10/2018;0;0,4;1;0,4;11;0,4;4;0,4;10;0,4;4,48;F
11/10/2018;1;0,17;1;0,17;15;0,17;7;0,17;5;0,17;3,46;F
11/10/2018;0;1,6;0;1,6;22;1,6;5;1,6;12;1,6;1,49;F
11/10/2018;2;0,67;1;0,67;18;0,67;6;0,67;7;0,67;2,89;S
11/10/2018;1;0,6;1;0,6;14;0,6;4;0,6;7;0,6;2,53;F
11/11/2018;1;1,83;1;1,83;10;1,83;3;1,83;11;1,83;1,68;F
11/11/2018;0;2,5;0;2,5;15;2,5;4;2,5;5;2,5;1,42;F
11/11/2018;2;2,4;0;2,4;20;2,4;7;2,4;6;2,4;1,11;S
11/11/2018;3;4;1;4;17;4;5;4;5;4;1,39;S
11/24/2018;1;1,6;1;1,6;14;1,6;3;1,6;6;1,6;2,89;F
11/24/2018;1;2;0;2;16;2;8;2;7;2;1,43;S
11/24/2018;3;1,2;2;1,2;10;1,2;5;1,2;2;1,2;2,68;S
11/24/2018;0;1,6;0;1,6;12;1,6;5;1,6;10;1,6;1,42;F
11/24/2018;3;1,25;1;1,25;18;1,25;9;1,25;4;1,25;2,87;S
11/24/2018;0;1,67;3;1,67;5;1,67;1;1,67;5;1,67;6,31;F
11/24/2018;0;1,33;4;1,33;9;1,33;1;1,33;8;1,33;12,46;F
11/25/2018;1;1,83;2;1,83;11;1,83;5;1,83;5;1,83;3,53;F
11/25/2018;0;1,33;2;1,33;12;1,33;3;1,33;3;1,33;1,51;F
11/26/2018;1;1,2;2;1,2;14;1,2;4;1,2;5;1,2;2,93;F
11/30/2018;2;1,29;1;1,29;17;1,29;3;1,29;7;1,29;3,76;S
12/01/2018;2;0,33;0;0,33;29;0,33;9;0,33;10;0,33;1,62;S
12/01/2018;1;0,29;2;0,29;7;0,29;2;0,29;2;0,29;2,5;F
12/01/2018;2;1,33;0;1,33;7;1,33;3;1,33;4;1,33;2,28;S
12/01/2018;3;3,86;1;3,86;16;3,86;6;3,86;8;3,86;1,11;S
12/01/2018;0;0,86;3;0,86;16;0,86;4;0,86;7;0,86;2,5;F
12/01/2018;2;0,67;2;0,67;16;0,67;6;0,67;3;0,67;4,3;F
12/02/2018;4;1,71;2;1,71;22;1,71;7;1,71;8;1,71;2,63;S
12/02/2018;2;2,14;0;2,14;16;2,14;9;2,14;4;2,14;1,18;S
12/02/2018;1;2,33;0;2,33;16;2,33;3;2,33;8;2,33;1,41;S
12/04/2018;2;1,71;1;1,71;6;1,71;2;1,71;4;1,71;1,7;S
12/04/2018;3;1,5;1;1,5;9;1,5;3;1,5;4;1,5;2,98;S
12/04/2018;1;1,43;2;1,43;11;1,43;7;1,43;3;1,43;9,74;F
12/04/2018;3;1,14;1;1,14;17;1,14;11;1,14;10;1,14;1,66;S
12/05/2018;1;1,17;3;1,17;10;1,17;6;1,17;5;1,17;11,09;F
12/05/2018;1;1,86;1;1,86;19;1,86;3;1,86;14;1,86;1,6;F
12/05/2018;1;1,5;1;1,5;25;1,5;7;1,5;10;1,5;3,06;F
12/05/2018;2;1,33;2;1,33;10;1,33;7;1,33;4;1,33;2,45;F
12/05/2018;3;1,6;1;1,6;13;1,6;8;1,6;8;1,6;1,38;S
12/05/2018;2;1,14;1;1,14;6;1,14;2;1,14;1;1,14;4,85;S
12/08/2018;1;2;0;2;14;2;2;2;7;2;1,27;S
12/08/2018;0;1,75;4;1,75;8;1,75;2;1,75;6;1,75;5,94;F
12/08/2018;1;1,14;0;1,14;14;1,14;4;1,14;2;1,14;2,87;S
12/08/2018;1;1,38;0;1,38;13;1,38;4;1,38;7;1,38;2,92;S
12/08/2018;2;2,13;0;2,13;8;2,13;5;2,13;1;2,13;4;S
12/08/2018;0;1,43;2;1,43;11;1,43;3;1,43;6;1,43;3,94;F
12/08/2018;4;1,43;1;1,43;20;1,43;11;1,43;10;1,43;1,36;S
12/08/2018;3;1,38;2;1,38;13;1,38;6;1,38;5;1,38;2,29;S
12/09/2018;1;0,75;2;0,75;12;0,75;4;0,75;4;0,75;3,01;F
12/10/2018;2;1,75;2;1,75;12;1,75;5;1,75;6;1,75;1,77;F
12/15/2018;1;0,57;0;0,57;8;0,57;1;0,57;4;0,57;2,72;S
12/15/2018;0;1,43;2;1,43;16;1,43;4;1,43;6;1,43;3,03;F
12/15/2018;0;0,38;1;0,38;15;0,38;5;0,38;10;0,38;2,73;F
12/15/2018;3;3,75;1;3,75;13;3,75;5;3,75;6;3,75;1,22;S
12/15/2018;1;1,83;0;1,83;15;1,83;3;1,83;8;1,83;1,18;S
12/15/2018;3;1,38;2;1,38;17;1,38;8;1,38;5;1,38;1,63;S
12/15/2018;2;1,25;0;1,25;9;1,25;3;1,25;5;1,25;2,02;S
12/16/2018;1;1,71;2;1,71;6;1,71;2;1,71;4;1,71;7,64;F
12/16/2018;3;2,14;1;2,14;36;2,14;11;2,14;13;2,14;1,53;S
12/16/2018;3;0,86;2;0,86;12;0,86;7;0,86;4;0,86;3,87;S
12/21/2018;0;1,33;2;1,33;11;1,33;5;1,33;1;1,33;6,85;F
12/22/2018;3;1,89;1;1,89;10;1,89;6;1,89;1;1,89;1,23;S
12/22/2018;2;1,56;0;1,56;14;1,56;3;1,56;6;1,56;1,95;S
12/22/2018;1;1,33;5;1,33;9;1,33;3;1,33;4;1,33;6,27;F
12/22/2018;0;2,11;1;2,11;17;2,11;5;2,11;9;2,11;1,33;F
12/22/2018;1;0,33;3;0,33;16;0,33;5;0,33;8;0,33;3,08;F
12/22/2018;2;3,67;3;3,67;19;3,67;5;3,67;13;3,67;1,14;F
12/22/2018;0;0,78;0;0,78;9;0,78;0;0,78;6;0,78;2,03;F
12/22/2018;0;1,56;2;1,56;18;1,56;7;1,56;10;1,56;2,37;F
12/23/2018;2;1,78;6;1,78;10;1,78;3;1,78;2;1,78;3,27;F
12/26/2018;1;1,63;1;1,63;12;1,63;3;1,63;4;1,63;5,26;F
12/26/2018;1;1,13;5;1,13;11;1,13;4;1,13;5;1,13;4,51;F
12/26/2018;0;0,63;0;0,63;31;0,63;5;0,63;12;0,63;1,65;F
12/26/2018;1;1,25;1;1,25;11;1,25;9;1,25;2;1,25;3,25;F
12/26/2018;2;1,25;1;1,25;10;1,25;5;1,25;3;1,25;9,66;S
12/26/2018;4;2,25;0;2,25;16;2,25;8;2,25;10;2,25;1,16;S
12/26/2018;3;1,75;1;1,75;16;1,75;10;1,75;5;1,75;1,23;S
12/26/2018;5;1,71;0;1,71;10;1,71;7;1,71;3;1,71;1,37;S
12/26/2018;1;1,56;2;1,56;10;1,56;2;1,56;3;1,56;5,08;F
12/27/2018;1;1,13;2;1,13;11;1,13;5;1,13;4;1,13;2,28;F
12/29/2018;1;1,56;0;1,56;11;1,56;3;1,56;6;1,56;3,54;S
12/29/2018;1;1,22;0;1,22;14;1,22;5;1,22;4;1,22;2,09;S
12/29/2018;0;1,33;1;1,33;16;1,33;7;1,33;10;1,33;1,58;F
12/29/2018;5;2,44;1;2,44;15;2,44;10;2,44;5;2,44;1,5;S
12/29/2018;1;2,13;3;2,13;10;2,13;3;2,13;6;2,13;1,37;F
12/29/2018;1;1,5;1;1,5;12;1,5;5;1,5;3;1,5;1,81;F
12/30/2018;2;1,11;0;1,11;17;1,11;5;1,11;5;1,11;3,39;S
