Date;FTHG;FTHGb;FTAG;FTAGb;HS;HSb;HST;HSTb;HC;HCb;OddsH;Resultado
12/30/2018;0;0,56;1;0,56;4;0,56;0;0,56;3;0,56;5,17;F
12/30/2018;4;1,89;1;1,89;11;1,89;8;1,89;4;1,89;1,37;S
12/30/2018;1;1,11;3;1,11;5;1,11;4;1,11;3;1,11;9,96;F
01/01/2019;4;2;1;2;16;2;9;2;8;2;1,34;S
01/01/2019;0;1,3;3;1,3;6;1,3;3;1,3;5;1,3;7,19;F
01/01/2019;0;1,8;1;1,8;17;1,8;2;1,8;6;1,8;2,01;F
01/02/2019;3;1,6;3;1,6;25;1,6;12;1,6;4;1,6;2,63;F
01/02/2019;0;1,9;0;1,9;17;1,9;6;1,9;7;1,9;1,27;F
01/02/2019;1;0,4;2;0,4;9;0,4;2;0,4;5;0,4;2,17;F
01/02/2019;0;0,7;2;0,7;14;0,7;3;0,7;1;0,7;5,87;F
01/02/2019;2;1,4;2;1,4;13;1,4;6;1,4;1;1,4;1,99;F
01/02/2019;0;1,2;2;1,2;9;1,2;1;1,2;3;1,2;2,04;F
01/03/2019;2;3,5;1;3,5;9;3,5;4;3,5;2;3,5;2,06;S
01/12/2019;0;1,5;1;1,5;7;1,5;0;1,5;2;1,5;9,78;F
01/12/2019;2;1,2;1;1,2;11;1,2;0;1,2;2;1,2;2,39;S
01/12/2019;0;1,18;0;1,18;3;1,18;0;1,18;3;1,18;2,26;F
01/12/2019;2;1,73;1;1,73;10;1,73;6;1,73;8;1,73;1,22;S
01/12/2019;1;0,5;2;0,5;15;0,5;6;0,5;7;0,5;2,27;F
01/12/2019;1;1,2;2;1,2;23;1,2;6;1,2;10;1,2;1,93;F
01/12/2019;1;1,45;0;1,45;11;1,45;3;1,45;7;1,45;3,53;S
1/13/2019;2;1,64;0;1,64;15;1,64;3;1,64;5;1,64;1,76;S
1/13/2019;0;2;1;2;21;2;11;2;7;2;2,07;F
1/14/2019;3;3,36;0;3,36;24;3,36;9;3,36;12;3,36;1,19;S
1/19/2019;2;2,18;0;2,18;13;2,18;5;2,18;5;2,18;3,09;S
1/19/2019;2;1,73;0;1,73;10;1,73;4;1,73;2;1,73;2,34;S
1/19/2019;4;2,7;3;2,7;19;2,7;9;2,7;8;2,7;1,19;S
1/19/2019;2;2,1;1;2,1;20;2,1;5;2,1;6;2,1;1,32;S
1/19/2019;3;0,64;0;0,64;16;0,64;6;0,64;7;0,64;1,97;S
1/19/2019;2;1,1;1;1,1;11;1,1;4;1,1;7;1,1;2,76;S
1/19/2019;0;1,45;0;1,45;9;1,45;4;1,45;1;1,45;1,64;F
1/19/2019;4;1,09;3;1,09;12;1,09;7;1,09;5;1,09;2,38;S
1/20/2019;1;1,2;2;1,2;12;1,2;4;1,2;7;1,2;5,49;F
1/20/2019;0;0,45;3;0,45;5;0,45;2;0,45;1;0,45;21,51;F
1/29/2019;2;2,17;1;2,17;15;2,17;4;2,17;4;2,17;1,22;S
1/29/2019;4;1,18;2;1,18;24;1,18;7;1,18;10;1,18;2,42;S
1/29/2019;0;0,42;1;0,42;10;0,42;2;0,42;3;0,42;4,06;F
1/29/2019;2;2,09;2;2,09;28;2,09;9;2,09;11;2,09;1,29;F
1/29/2019;2;0,83;1;0,83;6;0,83;2;0,83;1;0,83;14,57;S
1/29/2019;3;1,33;0;1,33;20;1,33;9;1,33;5;1,33;2,1;S
1/30/2019;4;1,75;0;1,75;12;1,75;7;1,75;3;1,75;5,55;S
1/30/2019;1;2,82;1;2,82;10;2,82;3;2,82;7;2,82;1,24;F
1/30/2019;1;1,18;1;1,18;13;1,18;4;1,18;3;1,18;2,39;F
1/30/2019;2;1,8;1;1,8;17;1,8;3;1,8;9;1,8;1,65;S
02/02/2019;0;1,36;0;1,36;21;1,36;4;1,36;7;1,36;2,65;F
02/02/2019;1;1,27;1;1,27;15;1,27;6;1,27;4;1,27;2,59;F
02/02/2019;2;1,08;0;1,08;12;1,08;5;1,08;6;1,08;3,31;S
02/02/2019;5;1,75;0;1,75;23;1,75;7;1,75;11;1,75;1,22;S
02/02/2019;2;0,55;0;0,55;17;0,55;6;0,55;11;0,55;2,05;S
02/02/2019;1;1,67;3;1,67;13;1,67;4;1,67;3;1,67;2,44;F
02/02/2019;1;1,82;0;1,82;21;1,82;4;1,82;6;1,82;1,43;S
02/03/2019;0;1,18;1;1,18;17;1,18;6;1,18;7;1,18;3,84;F
02/03/2019;3;3,33;1;3,33;19;3,33;12;3,33;4;3,33;1,32;S
02/04/2019;1;1,42;1;1,42;13;1,42;2;1,42;2;1,42;7,52;F
02/06/2019;0;1,62;2;1,62;4;1,62;1;1,62;5;1,62;9,59;F
02/09/2019;1;1,25;3;1,25;16;1,25;6;1,25;9;1,25;2,06;F
02/09/2019;1;0,67;1;0,67;25;0,67;5;0,67;10;0,67;2,13;F
02/09/2019;0;1,42;3;1,42;15;1,42;3;1,42;5;1,42;5,57;F
02/09/2019;1;0,38;2;0,38;15;0,38;6;0,38;5;0,38;5,69;F
02/09/2019;3;2,67;0;2,67;20;2,67;9;2,67;8;2,67;1,2;S
02/09/2019;1;1,17;2;1,17;14;1,17;7;1,17;8;1,17;1,78;F
02/09/2019;1;1,33;0;1,33;7;1,33;2;1,33;8;1,33;2,41;S
02/10/2019;6;3,31;0;3,31;15;3,31;9;3,31;2;3,31;1,51;S
02/10/2019;3;1,75;1;1,75;12;1,75;5;1,75;2;1,75;1,72;S
02/11/2019;1;1,46;1;1,46;22;1,46;6;1,46;13;1,46;1,69;F
2/22/2019;1;1,15;5;1,15;15;1,15;6;1,15;3;1,15;3,08;F
2/22/2019;3;1,38;1;1,38;21;1,38;7;1,38;12;1,38;1,96;S
2/23/2019;1;1,92;1;1,92;10;1,92;3;1,92;9;1,92;2,88;F
2/23/2019;2;1,25;1;1,25;10;1,25;4;1,25;7;1,25;5,52;S
2/23/2019;1;1,08;4;1,08;27;1,08;5;1,08;8;1,08;2,24;F
2/23/2019;2;0,92;0;0,92;29;0,92;12;0,92;12;0,92;1,85;S
2/24/2019;2;2,15;0;2,15;12;2,15;4;2,15;6;2,15;1,53;S
2/24/2019;0;2,08;0;2,08;6;2,08;3;2,08;3;2,08;3,16;F
2/26/2019;0;1,14;3;1,14;6;1,14;0;1,14;3;1,14;3,85;F
2/26/2019;1;0,43;0;0,43;15;0,43;3;0,43;3;0,43;5,17;S
2/26/2019;2;1,08;1;1,08;19;1,08;3;1,08;4;1,08;1,95;S
2/26/2019;2;1;0;1;12;1;3;1;4;1;2,15;S
2/27/2019;5;2,14;1;2,14;16;2,14;6;2,14;9;2,14;1,46;S
2/27/2019;2;2;0;2;11;2;1;2;2;2;2,3;S
2/27/2019;1;0,69;3;0,69;17;0,69;2;0,69;5;0,69;3,25;F
2/27/2019;5;2,69;0;2,69;19;2,69;10;2,69;6;2,69;1,29;S
2/27/2019;1;3,5;0;3,5;20;3,5;7;3,5;12;3,5;1,16;S
2/27/2019;2;1,15;0;1,15;14;1,15;4;1,15;7;1,15;1,93;S
03/02/2019;0;1,86;1;1,86;0;1,86;0;1,86;0;1,86;11,74;F
03/02/2019;1;1,23;0;1,23;13;1,23;4;1,23;6;1,23;1,83;S
03/02/2019;1;1,31;3;1,31;18;1,31;4;1,31;8;1,31;2,9;F
03/02/2019;3;1,92;2;1,92;16;1,92;6;1,92;9;1,92;1,45;S
03/02/2019;1;1,85;1;1,85;10;1,85;3;1,85;3;1,85;2,05;F
03/02/2019;2;1,5;0;1,5;10;1,5;4;1,5;1;1,5;2,1;S
03/02/2019;2;1,43;0;1,43;13;1,43;6;1,43;7;1,43;1,51;S
03/03/2019;0;1,5;0;1,5;7;1,5;3;1,5;3;1,5;5,69;F
03/03/2019;1;1,31;2;1,31;12;1,31;5;1,31;5;1,31;6,49;F
03/03/2019;2;1,31;1;1,31;6;1,31;5;1,31;1;1,31;2,5;S
03/09/2019;2;1,07;0;1,07;16;1,07;7;1,07;7;1,07;3,58;S
03/09/2019;1;0,71;2;0,71;15;0,71;3;0,71;8;0,71;1,88;F
03/09/2019;0;0,47;2;0,47;8;0,47;1;0,47;6;0,47;3,53;F
03/09/2019;3;1,14;1;1,14;18;1,14;8;1,14;6;1,14;1,6;S
03/09/2019;3;3,33;1;3,33;19;3,33;9;3,33;9;3,33;1,15;S
03/09/2019;3;1,07;2;1,07;19;1,07;7;1,07;8;1,07;2,85;S
03/09/2019;2;1,21;1;1,21;12;1,21;4;1,21;1;1,21;4,34;S
03/10/2019;2;2,33;0;2,33;14;2,33;3;2,33;5;2,33;2,45;S
03/10/2019;1;2;1;2;22;2;6;2;13;2;1,59;F
03/10/2019;4;2,86;2;2,86;23;2,86;5;2,86;7;2,86;1,17;S
3/16/2019;2;1,73;2;1,73;10;1,73;3;1,73;6;1,73;2,13;F
3/16/2019;1;1,29;2;1,29;13;1,29;2;1,29;9;1,29;3,16;F
3/16/2019;4;1,53;3;1,53;16;1,53;5;1,53;5;1,53;1,58;S
3/17/2019;2;1,4;0;1,4;15;1,4;8;1,4;3;1,4;4,12;S
3/17/2019;1;1,29;2;1,29;7;1,29;2;1,29;1;1,29;11,68;F
3/30/2019;0;1,21;1;1,21;14;1,21;1;1,21;6;1,21;2,6;F
3/30/2019;2;1,27;0;1,27;5;1,27;1;1,27;1;1,27;3,21;S
3/30/2019;2;0,73;0;0,73;19;0,73;5;0,73;5;0,73;1,47;S
3/30/2019;0;1,27;2;1,27;5;1,27;0;1,27;0;1,27;21,02;F
3/30/2019;2;1,27;0;1,27;18;1,27;4;1,27;6;1,27;1,84;S
3/30/2019;2;2;1;2;8;2;5;2;3;2;1,45;S
3/30/2019;0;1,69;2;1,69;3;1,69;1;1,69;4;1,69;2,6;F
3/31/2019;1;1,13;2;1,13;8;1,13;3;1,13;2;1,13;8,23;F
3/31/2019;2;2,93;1;2,93;14;2,93;3;2,93;10;2,93;1,63;S
04/01/2019;2;2,31;0;2,31;7;2,31;4;2,31;6;2,31;1,39;S
04/02/2019;4;1,36;1;1,36;15;1,36;7;1,36;6;1,36;1,76;S
04/02/2019;2;1,47;1;1,47;9;1,47;2;1,47;3;1,47;3,98;S
04/03/2019;3;1,93;0;1,93;17;1,93;4;1,93;7;1,93;1,27;S
04/03/2019;2;3,31;0;3,31;27;3,31;11;3,31;7;3,31;1,07;S
04/03/2019;2;1,79;0;1,79;26;1,79;10;1,79;8;1,79;1,47;S
04/05/2019;1;1,27;3;1,27;11;1,27;1;1,27;7;1,27;8,91;F
04/06/2019;1;1,75;3;1,75;10;1,75;2;1,75;3;1,75;2,09;F
04/06/2019;1;0,44;4;0,44;10;0,44;4;0,44;8;0,44;5,22;F
04/06/2019;0;1,19;1;1,19;18;1,19;5;1,19;9;1,19;2,61;F
04/07/2019;1;1,44;0;1,44;23;1,44;6;1,44;9;1,44;3,01;S
04/08/2019;2;2;0;2;16;2;7;2;7;2;1,32;S
04/12/2019;0;1,31;1;1,31;12;1,31;5;1,31;2;1,31;1,66;F
4/13/2019;0;1,13;5;1,13;8;1,13;1;1,13;4;1,13;2,32;F
4/13/2019;2;1,31;0;1,31;14;1,31;7;1,31;8;1,31;1,9;S
4/13/2019;2;1,19;0;1,19;12;1,19;5;1,19;7;1,19;4,64;S
4/13/2019;2;2;1;2;14;2;4;2;3;2;1,42;S
4/13/2019;3;1,25;1;1,25;13;1,25;6;1,25;4;1,25;2,64;S
4/13/2019;4;1,8;0;1,8;22;1,8;5;1,8;4;1,8;1,21;S
4/14/2019;1;0,81;3;0,81;7;0,81;3;0,81;2;0,81;10,23;F
4/14/2019;2;2,88;0;2,88;15;2,88;7;2,88;9;2,88;1,68;S
4/15/2019;0;1,53;1;1,53;11;1,53;3;1,53;6;1,53;3,18;F
4/16/2019;0;1,06;2;1,06;14;1,06;2;1,06;5;1,06;2,01;F
4/20/2019;0;1,71;1;1,71;15;1,71;5;1,71;3;1,71;1,68;F
4/20/2019;1;0,47;2;0,47;13;0,47;3;0,47;2;0,47;4,34;F
4/20/2019;1;3,24;0;3,24;15;3,24;4;3,24;4;3,24;1,29;S
4/20/2019;3;1,12;1;1,12;15;1,12;6;1,12;4;1,12;2,59;S
4/20/2019;2;1,59;2;1,59;11;1,59;3;1,59;6;1,59;3,21;F
4/20/2019;0;1,5;0;1,5;22;1,5;5;1,5;14;1,5;1,77;F
4/21/2019;2;2,29;3;2,29;12;2,29;5;2,29;8;2,29;1,56;F
4/21/2019;0;1,12;2;1,12;7;1,12;2;1,12;5;1,12;14,96;F
4/21/2019;4;1,41;0;1,41;15;1,41;8;1,41;10;1,41;3,23;S
4/22/2019;2;2;2;2;22;2;9;2;10;2;1,25;F
4/23/2019;1;1,94;0;1,94;29;1,94;5;1,94;6;1,94;1,29;S
4/23/2019;1;1,44;1;1,44;15;1,44;4;1,44;3;1,44;2,29;F
4/24/2019;0;2;2;2;12;2;1;2;1;2;6,94;F
4/24/2019;3;1,41;1;1,41;11;1,41;3;1,41;5;1,41;2,95;S
4/26/2019;5;2,82;0;2,82;21;2,82;7;2,82;4;2,82;1,08;S
4/27/2019;1;1;1;1;9;1;2;1;7;1;2,35;F
4/27/2019;0;0,82;0;0,82;8;0,82;0;0,82;5;0,82;2,63;F
4/27/2019;1;1,24;0;1,24;8;1,24;2;1,24;10;1,24;2,4;S
4/27/2019;3;1,35;3;1,35;22;1,35;7;1,35;9;1,35;1,92;F
4/27/2019;0;1,88;1;1,88;14;1,88;4;1,88;2;1,88;1,44;F
4/27/2019;1;1,41;2;1,41;10;1,41;1;1,41;4;1,41;2,64;F
4/28/2019;0;1,35;1;1,35;2;1,35;0;1,35;0;1,35;19,41;F
4/28/2019;3;1,24;0;1,24;24;1,24;12;1,24;8;1,24;2,68;S
4/28/2019;1;1,88;1;1,88;7;1,88;5;1,88;6;1,88;2,73;F
05/03/2019;2;1,56;0;1,56;20;1,56;6;1,56;8;1,56;1,68;S
05/04/2019;1;1,61;0;1,61;20;1,61;6;1,61;10;1,61;4,06;S
05/04/2019;2;1,06;3;1,06;18;1,06;8;1,06;10;1,06;2,62;F
05/04/2019;2;1,22;3;1,22;14;1,22;7;1,22;2;1,22;9,92;F
05/04/2019;3;1,61;0;1,61;17;1,61;6;1,61;2;1,61;2,33;S
05/04/2019;1;1,5;0;1,5;19;1,5;6;1,5;7;1,5;1,56;S
05/05/2019;1;2,28;1;2,28;20;2,28;8;2,28;16;2,28;1,43;F
05/05/2019;3;2;0;2;19;2;9;2;6;2;1,39;S
05/05/2019;1;0,5;1;0,5;7;0,5;3;0,5;3;0,5;9,23;F
05/06/2019;1;3,11;0;3,11;19;3,11;5;3,11;11;3,11;1,17;S
05/12/2019;1;1;4;1;6;1;2;1;2;1;15,63;F
05/12/2019;1;1,28;3;1,28;14;1,28;5;1,28;4;1,28;3,15;F
05/12/2019;5;0,78;3;0,78;17;0,78;8;0,78;4;0,78;1,88;S
05/12/2019;0;1,22;4;1,22;16;1,22;2;1,22;5;1,22;2,55;F
05/12/2019;0;1,33;0;1,33;9;1,33;3;1,33;4;1,33;2,44;F
05/12/2019;2;2,94;0;2,94;13;2,94;5;2,94;4;2,94;1,31;S
05/12/2019;0;1,83;2;1,83;26;1,83;10;1,83;11;1,83;1,28;F
05/12/2019;1;1,44;1;1,44;10;1,44;3;1,44;4;1,44;1,44;F
05/12/2019;2;1,78;2;1,78;11;1,78;3;1,78;7;1,78;2,1;F
05/12/2019;1;1,39;4;1,39;17;1,39;8;1,39;7;1,39;2,2;F
